vaccinated1,vaccinated2,state,district,confirmed,deceased,recovered,tested,other
405388.0,132925.0,CT,Bametara,19963.0,236.0,19726.0,3113.0,
443759.0,178775.0,CT,Bastar,21066.0,188.0,20845.0,4522.0,
103247.0,44245.0,CT,Bijapur,8324.0,55.0,8263.0,1239.0,
1031494.0,525066.0,CT,Bilaspur,65681.0,1210.0,64448.0,9823.0,
158243.0,80855.0,CT,Dakshin Bastar Dantewada,10840.0,25.0,10809.0,1168.0,
509782.0,224591.0,CT,Dhamtari,27239.0,545.0,26690.0,1501.0,
1012391.0,525445.0,CT,Durg,96880.0,1798.0,95028.0,5020.0,
293987.0,99137.0,CT,Gariaband,19701.0,194.0,19506.0,2096.0,
189474.0,79788.0,CT,Gaurela Pendra Marwahi,12011.0,146.0,11864.0,273.0,
896087.0,317605.0,CT,Janjgir Champa,57636.0,838.0,56766.0,4016.0,
435884.0,182747.0,CT,Jashpur,27093.0,212.0,26867.0,2542.0,
402362.0,173494.0,CT,Kabeerdham,22771.0,267.0,22503.0,2829.0,
317695.0,100468.0,CT,Kondagaon,13139.0,99.0,13036.0,1607.0,
650457.0,287588.0,CT,Korba,54847.0,580.0,54228.0,10034.0,
375503.0,128177.0,CT,Koriya,26980.0,177.0,26798.0,2689.0,
738333.0,428365.0,CT,Mahasamund,31365.0,365.0,31000.0,2183.0,
282508.0,109857.0,CT,Mungeli,23921.0,167.0,23753.0,2922.0,
53032.0,19468.0,CT,Narayanpur,4019.0,14.0,4005.0,804.0,
,,CT,Other State,805.0,131.0,666.0,,
1074306.0,967326.0,CT,Raigarh,62590.0,978.0,61597.0,5084.0,
1557999.0,915437.0,CT,Raipur,158035.0,3139.0,154852.0,12704.0,
1028876.0,530711.0,CT,Rajnandgaon,56077.0,515.0,55557.0,124947.0,
134654.0,81437.0,CT,Sukma,8066.0,20.0,8041.0,1723.0,
419247.0,163526.0,CT,Surajpur,29029.0,224.0,28805.0,1830.0,
468885.0,277031.0,CT,Surguja,33673.0,245.0,33426.0,103578.0,
405744.0,171484.0,CT,Uttar Bastar Kanker,23636.0,224.0,23407.0,2051.0,
13055636.0,7425404.0,DL,Delhi,1439870.0,25091.0,1414431.0,29427753.0,
