state,district,vaccinated1,vaccinated2,confirmed,recovered,deceased,tested,other
OR,Sundargarh,19935.0,22587.0,59.0,71.0,,,
PB,Amritsar,23376.0,18084.0,23.0,9.0,2.0,,
PB,Barnala,9552.0,5253.0,2.0,,,,
PB,Bathinda,8246.0,6940.0,15.0,8.0,,,
PB,Faridkot,3048.0,4201.0,7.0,7.0,,,
PB,Fatehgarh Sahib,2513.0,4804.0,2.0,1.0,1.0,,
PB,Fazilka,8408.0,5707.0,8.0,4.0,,,
PB,Ferozepur,4483.0,4723.0,13.0,9.0,,,
PB,Gurdaspur,18212.0,26825.0,3.0,3.0,1.0,,
PB,Hoshiarpur,6567.0,17487.0,10.0,12.0,2.0,,
PB,Jalandhar,13877.0,22309.0,20.0,12.0,1.0,,
PB,Kapurthala,5387.0,6146.0,2.0,7.0,,,
